date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,year,month,day,dayofweek,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2023-01-03,West US,Storage,67,1378,252,97.66,0.98,0,2023,1,3,1,0,73.0,99.0,88.0,79.0,13.638181696985836,75.16666666666667,16.19298130914011
2023-01-03,West US,VM,89,1219,436,97.66,0.98,0,2023,1,3,1,0,67.0,64.0,77.0,74.42857142857143,10.906529280773992,74.46666666666667,16.07253672515976
2023-01-03,West US,Container,73,716,451,97.66,0.98,0,2023,1,3,1,0,89.0,84.0,76.0,78.0,11.015141094572181,74.86666666666666,16.28566819340696
2023-01-03,East US,Container,57,1985,414,97.66,0.98,0,2023,1,3,1,0,73.0,66.0,93.0,76.42857142857143,10.79902993879761,74.76666666666667,16.28767956914448
2023-01-03,East US,Storage,85,769,470,97.66,0.98,0,2023,1,3,1,0,57.0,73.0,51.0,75.14285714285714,12.628388277060141,73.56666666666666,16.224042043519397
2023-01-03,East US,VM,93,661,401,97.66,0.98,0,2023,1,3,1,0,85.0,94.0,73.0,76.85714285714286,13.094891770312191,74.7,15.774597650478531
2023-01-04,Southeast Asia,Storage,75,1391,378,115.79,1.08,0,2023,1,4,2,0,93.0,73.0,82.0,76.71428571428571,12.880402241574654,75.36666666666666,16.11913263118116
2023-01-04,Southeast Asia,VM,58,706,214,115.79,1.08,0,2023,1,4,2,0,75.0,67.0,85.0,77.0,12.806248474865676,75.13333333333334,16.070391136010592
2023-01-04,North Europe,Container,63,1370,482,115.79,1.08,0,2023,1,4,2,0,58.0,89.0,60.0,75.71428571428571,14.337762327902777,74.23333333333333,16.25377056166551
2023-01-04,North Europe,Storage,50,1528,417,115.79,1.08,0,2023,1,4,2,0,63.0,73.0,70.0,72.0,13.674794331177331,74.33333333333333,16.172205473745922
2023-01-04,North Europe,VM,50,1112,330,115.79,1.08,0,2023,1,4,2,0,50.0,57.0,92.0,68.71428571428571,15.965737123752286,73.66666666666667,16.75859703891241
2023-01-04,Southeast Asia,Container,81,1242,440,115.79,1.08,0,2023,1,4,2,0,50.0,85.0,52.0,67.71428571428571,17.00700135938418,72.26666666666667,16.927702928536455
2023-01-04,West US,Storage,73,1304,298,115.79,1.08,0,2023,1,4,2,0,81.0,93.0,96.0,67.14285714285714,16.385243070403032,73.23333333333333,16.554368802125367
2023-01-04,West US,VM,97,1002,261,115.79,1.08,0,2023,1,4,2,0,73.0,75.0,53.0,64.28571428571429,12.37893756499707,72.46666666666667,15.986488547894252
2023-01-04,East US,Container,57,1279,232,115.79,1.08,0,2023,1,4,2,0,97.0,58.0,55.0,67.42857142857143,17.34797916047806,73.93333333333334,16.15641931423765
2023-01-04,East US,Storage,77,634,400,115.79,1.08,0,2023,1,4,2,0,57.0,63.0,66.0,67.28571428571429,17.44242228700175,74.0,16.079543654529846
2023-01-04,East US,VM,91,730,240,115.79,1.08,0,2023,1,4,2,0,77.0,50.0,96.0,69.28571428571429,17.670260191578826,74.36666666666666,16.016119753361707
2023-01-04,West US,Container,93,1225,234,115.79,1.08,0,2023,1,4,2,0,91.0,50.0,51.0,75.14285714285714,16.994396835708045,74.2,15.807898505886666
2023-01-05,Southeast Asia,Container,57,1934,336,95.31,1.05,0,2023,1,5,3,0,93.0,81.0,86.0,81.28571428571429,13.877010793806713,75.6,15.539937424983854
2023-01-05,Southeast Asia,Storage,62,1782,397,95.31,1.05,0,2023,1,5,3,0,57.0,73.0,53.0,77.85714285714286,16.647608150808235,74.63333333333334,15.77095395040348
2023-01-05,Southeast Asia,VM,82,1908,482,95.31,1.05,0,2023,1,5,3,0,62.0,97.0,58.0,76.28571428571429,17.670260191578816,74.93333333333334,15.42709960747161
2023-01-05,North Europe,Container,60,1871,430,95.31,1.05,0,2023,1,5,3,0,82.0,57.0,93.0,74.14285714285714,15.518038658590964,75.73333333333333,15.13828973470762
2023-01-05,North Europe,Storage,93,1863,485,95.31,1.05,0,2023,1,5,3,0,60.0,77.0,96.0,74.57142857142857,14.998412614419593,74.63333333333334,15.03899146777523
2023-01-05,North Europe,VM,77,1551,307,95.31,1.05,0,2023,1,5,3,0,93.0,91.0,99.0,76.85714285714286,16.567322972532107,74.53333333333333,14.90136150533379
2023-01-05,West US,Container,94,1512,333,95.31,1.05,0,2023,1,5,3,0,77.0,93.0,64.0,74.85714285714286,15.377782365353927,73.8,14.179635713427807
2023-01-05,West US,VM,56,1766,285,95.31,1.05,0,2023,1,5,3,0,94.0,57.0,84.0,75.0,15.577761927397221,74.8,14.518478119160829
2023-01-05,East US,Container,85,1024,359,95.31,1.05,0,2023,1,5,3,0,56.0,62.0,66.0,74.85714285714286,15.773697214335119,73.86666666666666,14.803851626806647
2023-01-05,East US,Storage,94,1694,228,95.31,1.05,0,2023,1,5,3,0,85.0,82.0,73.0,78.14285714285714,15.026959899112105,74.5,14.862008960595725
2023-01-05,East US,VM,81,984,430,95.31,1.05,0,2023,1,5,3,0,94.0,60.0,94.0,79.85714285714286,16.18052915727799,75.2,15.277660048309892
2023-01-05,West US,Storage,77,1077,369,95.31,1.05,0,2023,1,5,3,0,81.0,93.0,73.0,82.85714285714286,13.631196712303845,74.76666666666667,14.905873254233192
2023-01-06,North Europe,Storage,77,1354,423,95.37,0.95,0,2023,1,6,4,0,77.0,77.0,67.0,80.57142857142857,12.972498382567395,74.9,14.907415419272338
2023-01-06,Southeast Asia,Container,53,1962,402,95.37,0.95,0,2023,1,6,4,0,77.0,94.0,89.0,80.57142857142857,12.972498382567395,75.23333333333333,14.836309917025293
2023-01-06,Southeast Asia,Storage,75,1939,446,95.37,0.95,0,2023,1,6,4,0,53.0,56.0,73.0,74.71428571428571,14.996825060817422,74.03333333333333,15.137264667343155
2023-01-06,Southeast Asia,VM,51,1576,371,95.37,0.95,0,2023,1,6,4,0,75.0,85.0,57.0,77.42857142857143,12.567910763224747,74.1,15.13696093034849
2023-01-06,North Europe,VM,98,501,329,95.37,0.95,0,2023,1,6,4,0,51.0,94.0,85.0,72.57142857142857,15.404081091896192,73.9,15.407902137405408
2023-01-06,North Europe,Container,82,884,325,95.37,0.95,0,2023,1,6,4,0,98.0,81.0,93.0,73.14285714285714,16.37506815689195,74.33333333333333,15.905612397739564
2023-01-06,West US,Storage,61,1909,312,95.37,0.95,0,2023,1,6,4,0,82.0,77.0,75.0,73.28571428571429,16.459184727827846,73.96666666666667,15.583995621798344
2023-01-06,East US,VM,86,1748,433,95.37,0.95,0,2023,1,6,4,0,61.0,77.0,58.0,71.0,16.960738977611385,73.5,15.760601248814654
2023-01-06,East US,Storage,93,1163,359,95.37,0.95,0,2023,1,6,4,0,86.0,53.0,63.0,72.28571428571429,17.811178940151457,74.43333333333334,15.639656344520896
2023-01-06,West US,Container,86,1451,280,95.37,0.95,0,2023,1,6,4,0,93.0,75.0,50.0,78.0,16.990193249832867,75.43333333333334,15.841201916550386
2023-01-06,West US,VM,98,941,251,95.37,0.95,0,2023,1,6,4,0,86.0,51.0,50.0,79.57142857142857,17.174177737300283,76.63333333333334,15.198646340207825
2023-01-06,East US,Container,81,1995,432,95.37,0.95,0,2023,1,6,4,0,98.0,98.0,81.0,86.28571428571429,12.763414978161677,78.23333333333333,14.820031488945407
2023-01-07,Southeast Asia,Container,56,643,311,102.42,0.81,1,2023,1,7,5,1,81.0,82.0,73.0,83.85714285714286,11.739230119966285,78.23333333333333,14.820031488945407
2023-01-07,Southeast Asia,Storage,80,1821,298,102.42,0.81,1,2023,1,7,5,1,56.0,61.0,97.0,80.14285714285714,15.826439602013785,77.66666666666667,15.342825647532296
2023-01-07,Southeast Asia,VM,60,972,350,102.42,0.81,1,2023,1,7,5,1,80.0,86.0,57.0,82.85714285714286,13.446543191821592,77.1,14.912040957469284
2023-01-07,North Europe,Container,88,837,328,102.42,0.81,1,2023,1,7,5,1,60.0,93.0,77.0,79.14285714285714,15.815905195177947,77.2,14.782095413965717
2023-01-07,North Europe,VM,69,1363,398,102.42,0.81,1,2023,1,7,5,1,88.0,86.0,91.0,78.42857142857143,15.186146569128299,77.56666666666666,14.912811741016133
2023-01-07,North Europe,Storage,90,1428,327,102.42,0.81,1,2023,1,7,5,1,69.0,98.0,93.0,76.0,15.13274595042154,76.83333333333333,14.769687815283017
2023-01-07,West US,Storage,55,963,458,102.42,0.81,1,2023,1,7,5,1,90.0,81.0,57.0,74.85714285714286,13.396872413969986,76.73333333333333,14.66624868787901
2023-01-07,West US,VM,65,1108,400,102.42,0.81,1,2023,1,7,5,1,55.0,56.0,62.0,71.14285714285714,14.926805546047795,76.66666666666667,14.763266000059263
2023-01-07,East US,Container,55,1481,439,102.42,0.81,1,2023,1,7,5,1,65.0,80.0,82.0,72.42857142857143,13.745995087747573,76.76666666666667,14.670362648206252
2023-01-07,East US,Storage,73,1383,297,102.42,0.81,1,2023,1,7,5,1,55.0,60.0,60.0,68.85714285714286,14.667748877822264,75.86666666666666,15.158321564199587
2023-01-07,East US,VM,66,1266,493,102.42,0.81,1,2023,1,7,5,1,73.0,88.0,93.0,70.71428571428571,14.17408769215011,76.3,14.87221431464359
2023-01-07,West US,Container,69,1263,346,102.42,0.81,1,2023,1,7,5,1,66.0,69.0,77.0,67.57142857142857,11.970201096293799,75.4,14.641933168012747
2023-01-08,North Europe,Storage,98,1943,303,82.75,0.94,1,2023,1,8,6,1,69.0,90.0,94.0,67.57142857142857,11.970201096293799,75.13333333333334,14.68457631697951
