date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,week,weekly_avg_cpu,cpu_rolling_avg_7d,cpu_lag_1,month,quarter
2023-01-01,East US,VM,88,1959,470,104.97,0.99,1,52,83.33333333333333,88.0,,1,1
2023-01-01,East US,Storage,92,1595,388,104.97,0.99,1,52,83.33333333333333,90.0,88.0,1,1
2023-01-01,East US,Container,70,621,414,104.97,0.99,1,52,83.33333333333333,83.33333333333333,92.0,1,1
2023-01-01,West US,VM,60,1982,287,104.97,0.99,1,52,65.66666666666667,60.0,,1,1
2023-01-01,West US,Storage,85,1371,351,104.97,0.99,1,52,65.66666666666667,72.5,60.0,1,1
2023-01-01,West US,Container,52,1832,457,104.97,0.99,1,52,65.66666666666667,65.66666666666667,85.0,1,1
2023-01-01,North Europe,VM,73,1937,493,104.97,0.99,1,52,68.66666666666667,73.0,,1,1
2023-01-01,North Europe,Storage,51,1715,476,104.97,0.99,1,52,68.66666666666667,62.0,73.0,1,1
2023-01-01,North Europe,Container,82,959,221,104.97,0.99,1,52,68.66666666666667,68.66666666666667,51.0,1,1
2023-01-01,Southeast Asia,VM,93,1356,248,104.97,0.99,1,52,82.0,93.0,,1,1
2023-01-01,Southeast Asia,Storage,76,1582,369,104.97,0.99,1,52,82.0,84.5,93.0,1,1
2023-01-01,Southeast Asia,Container,77,1199,470,104.97,0.99,1,52,82.0,82.0,76.0,1,1
2023-01-02,East US,VM,96,1457,250,106.48,1.15,0,1,80.42857142857143,86.5,70.0,1,1
2023-01-02,East US,Storage,93,1767,330,106.48,1.15,0,1,80.42857142857143,87.8,96.0,1,1
2023-01-02,East US,Container,86,1146,220,106.48,1.15,0,1,80.42857142857143,87.5,93.0,1,1
2023-01-02,West US,VM,58,666,473,106.48,1.15,0,1,77.0952380952381,63.75,52.0,1,1
2023-01-02,West US,Storage,53,1100,213,106.48,1.15,0,1,77.0952380952381,61.6,58.0,1,1
2023-01-02,West US,Container,99,1276,252,106.48,1.15,0,1,77.0952380952381,67.83333333333333,53.0,1,1
2023-01-02,North Europe,VM,51,1863,291,106.48,1.15,0,1,77.14285714285714,64.25,82.0,1,1
2023-01-02,North Europe,Storage,96,1455,463,106.48,1.15,0,1,77.14285714285714,70.6,51.0,1,1
2023-01-02,North Europe,Container,96,534,405,106.48,1.15,0,1,77.14285714285714,74.83333333333333,96.0,1,1
2023-01-02,Southeast Asia,VM,66,1911,201,106.48,1.15,0,1,68.66666666666667,78.0,77.0,1,1
